"x"
"PRSS1"
"ARX"
"GCG"
"BMP-5"
"INS"
"CHE1"
"SST"
"PROM1"
"THY1"
"AQP3"
"PPY"
"AADAC"
"AC018865.8"
"ABI2"
""
" CLIM1"
" CDKN1C"
" ESE3B"
" ARHGAP3"
" AKR1B10"
" AC140481.1"
" AC009041.1"
" CRYBA2"
" CRTR1"
" ETV1"
" ARX"
" AKR1C1"
" ADORA2A"
" ADCYAP1"
" FEV"
" DLK1"
" GABRG2"
" BHLHB26"
" AKR1C2"
" ARRDC4"
" AL117190.2"
" GBA"
" NPTX2"
" HER4"
" BHLHB27"
" AKR1C3"
" ALCAM"
" HMGB3"
" PACAP"
" ISL1"
" CARTPT"
" AKR7A3"
" ASPH"
" ALOX5"
" ILTMP"
" PDX1"
" LCORL"
" EGR3"
" ALB"
" ASXL3"
" AP3B1"
" IRX2"
" PFKFB2"
" LEDGF"
" ENTPD2"
" ALDOB"
" ATG7"
" APCDD1L"
" KRP1"
" PIR"
" LEPR"
" AMY2A"
" ATL2"
" APLP2"
" LOXL4"
" SIX2"
" NEC1"
" MEIS1"
" AMY2B"
" BAZ2B"
" ATP2A3"
" MAFB"
" SIX3"
" PDLIM4"
" MEIS2"
" AMYP1"
" BSCL2"
" BMP5"
" PGE2-R"
" SMAD9"
" POU3F1"
" PAX6"
" ANPEP"
" C11orf24"
" C1orf127"
" PGR"
" SYT13"
" PRBP"
" PTGFR"
" AQP8"
" C18orf42"
" C21orf119"
" PLCE1"
" TGFBR3"
" PRG4"
" RBTN3"
" AZGP1"
" C19orf77"
" CADM1"
" RFX6"
" RGS2"
" SERTM1"
" BCAT1"
" C21orf58"
" CAPN13"
" RGP4"
" SFRP3"
" SLITRK6"
" C15orf48"
" C4orf29"
" CASR"
" SMARCA1"
" SHARP1"
" THSD7A"
" C4B"
" CAMK2G"
" CD72"
" ZNF506"
" CA12"
" CD36"
" CDH18"
" CBS"
" CDS2"
" CDK5R1"
" CEL"
" CERCAM"
" CGRRF1"
" CELA2A"
" CLU"
" CNTN4"
" CELA3A"
" CTA-246H3.8"
" CSDE1"
" CELA3B"
" DPP4"
" CTSV"
" CLPS"
" EGFEM1P"
" CYP2U1"
" CPA1"
" EGFL7"
" CYYR1"
" CPA2"
" ELL2"
" CPB1"
" EPG5"
" EDARADD"
